,Connection Size##pipe_size##inches,Material Number##other##,Operator Selector##length##inches,Connection Type##other##,Unit Weight Value##number##general,Valve Material##other##,Minimum Operating Temperature##hvac_temperature##Fahrenheit,Maximum Operating Temperature##hvac_temperature##Fahrenheit,Maximum Working Pressure##piping_pressure##pounds_force_per_square_inch,Cv Coefficient##other##,K Coefficient##other##,Body Length##Length##inches,Centerline to Handle Height##Length##inches,Center to End 1##Length##inches,Center to Handle End##Length##inches,Overall Length##Length##inches,Overall Height##Length##inches,Body Diameter##Length##inches,Handle Height##Length##inches,Nut Size Selector Length##length##inches,Operator Selector Length##length##inches,Operator Material##other##,Model##other##,Flow Configuration##other##,Standards##other##,Description##other##,Product Page URL##other##,URL##other##,Series##other##
2in_NL9511D,2,NL9511D,1,Female NPT Thread (FIPT),6.679,FamilyMEP - Neutral Gray,0,0,600,0,0,5.16,3.70,2.575,6.76,9.335,5.545,3.69,0.914,3,27,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/4in_NL9520B,1 1/4,NL9520B,2,Female NPT Thread (FIPT),3.286,FamilyMEP - Neutral Gray,0,0,600,0,0,4.18,3.93,2.09,3.73,5.82,5.16,2.46,1.59,0,10,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/2in_NL9520C,1 1/2,NL9520C,2,Female NPT Thread (FIPT),4.942,FamilyMEP - Neutral Gray,0,0,600,0,0,4.70,4.06,2.348,5.385,7.733,5.535,2.95,1.63,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
2in_NL9520D,2,NL9520D,2,Female NPT Thread (FIPT),6.800,FamilyMEP - Neutral Gray,0,0,600,0,0,5.16,4.42,2.575,5.385,7.96,6.265,3.69,1.63,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/2in_NL95B06,1/2,NL95B06,8,Female NPT Thread (FIPT),0.788,FamilyMEP - Neutral Gray,0,0,600,0,0,2.42,1.26,1.198,8.00,0,1.9,1.28,0.109,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/4in_NL95B08,3/4,NL95B08,8,Female NPT Thread (FIPT),1.371,FamilyMEP - Neutral Gray,0,0,600,0,0,2.95,1.60,1.47,9.50,0,2.45,1.70,0.12,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1in_NL95B0A,1,NL95B0A,8,Female NPT Thread (FIPT),2.428,FamilyMEP - Neutral Gray,0,0,600,0,0,3.33,1.75,1.664,9.50,0,2.795,2.09,0.12,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/4in_NL95B0B,1 1/4,NL95B0B,8,Female NPT Thread (FIPT),2.955,FamilyMEP - Neutral Gray,0,0,600,0,0,4.18,2.47,2.09,14.00,0,3.7,2.46,0.134,0,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/2in_NL95B0C,1 1/2,NL95B0C,8,Female NPT Thread (FIPT),4.611,FamilyMEP - Neutral Gray,0,0,600,0,0,4.70,2.56,2.348,14.00,0,4.035,2.95,0.134,0,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
2in_NL95B0D,2,NL95B0D,8,Female NPT Thread (FIPT),6.092,FamilyMEP - Neutral Gray,0,0,600,0,0,5.16,2.92,2.575,14.00,0,4.765,3.69,0.134,0,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
